iter	Passed	Remaining
455	983	1172
456	984	1169
457	986	1166
458	988	1164
459	990	1162
460	995	1163
461	997	1161
462	999	1158
463	1001	1156
464	1004	1155
465	1007	1154
466	1009	1152
467	1011	1149
468	1013	1147
469	1016	1145
470	1018	1144
471	1021	1142
472	1023	1140
473	1025	1137
474	1026	1134
475	1028	1131
476	1029	1128
477	1030	1125
478	1032	1122
479	1032	1119
480	1035	1116
481	1038	1115
482	1040	1113
483	1042	1111
484	1044	1108
485	1046	1107
486	1048	1104
487	1050	1102
488	1051	1099
489	1053	1096
490	1054	1093
491	1056	1090
492	1057	1087
493	1059	1085
494	1061	1082
495	1062	1079
496	1064	1077
497	1067	1076
498	1069	1074
499	1071	1071
500	1074	1070
501	1076	1068
502	1078	1066
503	1080	1063
504	1084	1063
505	1088	1062
506	1091	1061
507	1094	1060
508	1098	1059
509	1101	1058
510	1103	1056
511	1108	1056
512	1112	1056
513	1114	1054
514	1116	1051
515	1118	1048
516	1120	1047
517	1123	1045
518	1125	1042
519	1127	1040
520	1129	1038
521	1132	1037
522	1134	1035
523	1136	1032
524	1145	1036
525	1148	1034
526	1151	1033
527	1153	1030
528	1156	1029
529	1158	1027
530	1163	1027
531	1165	1025
532	1170	1025
533	1172	1022
534	1174	1020
535	1178	1020
536	1181	1018
537	1183	1016
538	1186	1015
539	1189	1013
540	1190	1010
541	1193	1008
542	1195	1005
543	1197	1004
544	1199	1001
545	1202	999
546	1205	998
547	1207	995
548	1209	993
549	1212	991
550	1214	989
551	1217	988
552	1219	986
553	1224	985
554	1226	983
555	1230	982
556	1234	981
557	1237	979
558	1238	977
559	1240	974
560	1241	971
561	1243	969
562	1245	966
563	1246	963
564	1249	961
565	1250	958
566	1251	955
567	1252	952
568	1254	950
569	1255	947
570	1257	944
571	1260	942
572	1261	940
573	1262	937
574	1264	934
575	1265	931
576	1267	928
577	1268	926
578	1270	923
579	1272	921
580	1275	920
581	1277	917
582	1279	914
583	1280	912
584	1281	909
585	1283	906
586	1284	903
587	1286	901
588	1287	898
589	1288	895
590	1290	892
591	1291	889
592	1292	887
593	1293	884
594	1294	881
595	1295	878
596	1296	875
597	1298	872
598	1299	870
599	1301	867
600	1302	864
601	1303	862
602	1305	859
603	1307	857
604	1309	854
605	1310	852
606	1312	849
607	1313	846
608	1315	844
609	1316	841
610	1318	839
611	1319	836
612	1320	833
613	1322	831
614	1323	828
615	1325	825
616	1326	823
617	1328	821
618	1329	818
619	1331	816
620	1333	813
621	1334	811
622	1336	808
623	1337	805
624	1339	803
625	1341	801
626	1343	799
627	1345	796
628	1347	794
629	1348	792
630	1349	789
631	1351	786
632	1352	784
633	1354	781
634	1355	779
635	1358	777
636	1359	774
637	1360	772
638	1361	769
639	1363	766
640	1364	764
641	1367	762
642	1368	759
643	1370	757
644	1371	755
645	1373	752
646	1374	750
647	1375	747
648	1377	744
649	1378	742
650	1379	739
651	1380	737
652	1382	734
653	1383	731
654	1384	729
655	1386	726
656	1387	724
657	1388	721
658	1389	719
659	1390	716
660	1391	713
661	1393	711
662	1394	708
663	1395	706
664	1396	703
665	1398	701
666	1399	698
667	1400	696
668	1402	693
669	1402	690
670	1403	688
671	1405	685
672	1406	683
673	1407	680
674	1408	678
675	1409	675
676	1411	673
677	1413	671
678	1414	668
679	1415	666
680	1417	663
681	1419	661
682	1420	659
683	1421	656
684	1422	654
685	1423	651
686	1425	649
687	1426	647
688	1429	645
689	1431	643
690	1433	640
691	1435	638
692	1437	636
693	1439	634
694	1442	633
695	1445	631
696	1446	628
697	1448	626
698	1450	624
699	1451	622
700	1454	620
701	1458	619
702	1460	616
703	1462	614
704	1464	612
705	1465	610
706	1466	607
707	1467	605
708	1469	603
709	1471	601
710	1473	599
711	1475	596
712	1477	594
713	1478	592
714	1480	589
715	1481	587
716	1482	585
717	1484	583
718	1486	580
719	1488	578
720	1489	576
721	1490	573
722	1492	571
723	1493	569
724	1494	566
725	1495	564
726	1496	562
727	1498	559
728	1500	557
729	1501	555
730	1503	553
731	1505	551
732	1506	548
733	1508	546
734	1509	544
735	1511	542
736	1512	539
737	1515	538
738	1518	536
739	1520	534
740	1522	532
741	1526	530
742	1528	528
743	1530	526
744	1533	524
745	1534	522
746	1538	520
747	1544	520
748	1547	518
749	1549	516
750	1553	515
751	1557	513
752	1559	511
753	1561	509
754	1564	507
755	1566	505
756	1568	503
757	1570	501
758	1572	499
759	1574	497
760	1576	495
761	1579	493
762	1582	491
763	1584	489
764	1586	487
765	1588	485
766	1591	483
767	1594	481
768	1595	479
769	1598	477
770	1603	476
771	1606	474
772	1608	472
773	1612	470
774	1616	469
775	1618	467
776	1620	465
777	1621	462
778	1625	461
779	1628	459
780	1630	457
781	1633	455
782	1635	453
783	1638	451
784	1641	449
785	1644	447
786	1648	446
787	1650	444
788	1654	442
789	1657	440
790	1660	438
791	1663	436
792	1665	434
793	1671	433
794	1675	431
795	1680	430
796	1682	428
797	1683	426
798	1685	424
799	1686	421
800	1689	419
801	1692	417
802	1696	416
803	1698	414
804	1700	411
805	1702	409
806	1704	407
807	1706	405
808	1710	403
809	1712	401
810	1714	399
811	1716	397
812	1717	395
813	1719	392
814	1721	390
815	1722	388
816	1724	386
817	1726	384
818	1729	382
819	1731	380
820	1733	377
821	1735	375
822	1737	373
823	1738	371
824	1740	369
825	1742	367
826	1743	364
827	1745	362
828	1746	360
829	1748	358
830	1751	356
831	1752	353
832	1754	351
833	1756	349
834	1758	347
835	1759	345
836	1761	343
837	1762	340
838	1764	338
839	1766	336
840	1768	334
841	1769	332
842	1771	329
843	1773	327
844	1775	325
845	1777	323
846	1779	321
847	1783	319
848	1785	317
849	1787	315
850	1789	313
851	1791	311
852	1795	309
853	1798	307
854	1799	305
855	1801	302
856	1802	300
857	1803	298
858	1805	296
859	1807	294
860	1812	292
861	1813	290
862	1815	288
863	1816	286
864	1818	283
865	1819	281
866	1821	279
867	1823	277
868	1825	275
869	1827	273
870	1829	270
871	1830	268
872	1831	266
873	1833	264
874	1835	262
875	1838	260
876	1839	258
877	1841	255
878	1842	253
879	1844	251
880	1845	249
881	1846	247
882	1848	244
883	1851	243
884	1853	240
885	1854	238
886	1856	236
887	1858	234
888	1860	232
889	1861	230
890	1863	227
891	1865	225
892	1867	223
893	1869	221
894	1871	219
895	1873	217
896	1874	215
897	1876	213
898	1877	210
899	1879	208
900	1881	206
901	1883	204
902	1885	202
903	1887	200
904	1889	198
905	1890	196
906	1893	194
907	1894	192
908	1896	189
909	1898	187
910	1900	185
911	1901	183
912	1903	181
913	1906	179
914	1908	177
915	1910	175
916	1912	173
917	1913	170
918	1915	168
919	1917	166
920	1918	164
921	1920	162
922	1922	160
923	1924	158
924	1926	156
925	1928	154
926	1930	152
927	1932	149
928	1934	147
929	1935	145
930	1936	143
931	1937	141
932	1938	139
933	1939	137
934	1941	134
935	1942	132
936	1943	130
937	1944	128
938	1946	126
939	1947	124
940	1949	122
941	1952	120
942	1953	118
943	1955	115
944	1956	113
945	1958	111
946	1960	109
947	1961	107
948	1963	105
949	1964	103
950	1965	101
951	1966	99
952	1967	97
953	1968	94
954	1970	92
955	1971	90
956	1972	88
957	1973	86
958	1975	84
959	1976	82
960	1978	80
961	1980	78
962	1982	76
963	1984	74
964	1985	72
965	1987	69
966	1989	67
967	1991	65
968	1993	63
969	1996	61
970	1997	59
971	1999	57
972	2000	55
973	2002	53
974	2003	51
975	2005	49
976	2007	47
977	2009	45
978	2010	43
979	2011	41
980	2012	38
981	2014	36
982	2015	34
983	2016	32
984	2018	30
985	2019	28
986	2021	26
987	2023	24
988	2024	22
989	2026	20
990	2027	18
991	2028	16
992	2029	14
993	2031	12
994	2032	10
995	2033	8
996	2035	6
997	2036	4
998	2038	2
999	2039	0
